product_category_name,product_category_name_english
beleza_saude,beauty_health
cama_mesa_banho,bed_bath_table
utilidades_domesticas,housewares
esporte_lazer,sports_leisure
informatica_acessorios,computers_accessories
telefonia,telephony
automotivo,automotive
ferramentas_jardim,garden_tools
pet_shop,pet_shop
bebes,baby
alimentos_bebidas,food_drink
papelaria,stationery
moveis_decoracao,furniture_decor
relogios_presentes,watches_gifts
brinquedos,toys
livros_interesse_geral,books_general_interest
fashion_bolsas_e_acessorios,fashion_bags_accessories
instrumentos_musicais,musical_instruments
saude_fitness,health_fitness
eletrodomesticos,home_appliances
